serialNum,uniqueCode,userName
287,APGUDLS128,SARASWATHI ENTERPRISES
288,APGUDLS140,SRI VEERA VENKATA SATYA DEVA TRADERS
289,APGUDLS96,SRINIVASA ENTERPRISES
290,APGUDLS99,SRI SRAVANI INFRA
291,APGUDLS138,SRI CHENNADAS ENTERPRISES
292,APGUDLB07,B T TRADERS
293,APGUDLB08,BISMELA TRADERS
294,APGUDLD11,DAYANANDA STEELS
295,APGUDLG02,GAYATHRI TRADERS
296,APGUDLK07,KUSUMA SIRI AGENCIES
297,APGUDLL01,LAKSHMI DURGA SLABS  TILES - Repalli
298,APGUDLL05,LEELA SAI MADHAVI ENTERPRISES
299,APGUDLL09,LAKSHMI GANAPATHI STEEL & CEMENTS
300,APGUDLL18,LALITHA STEELS AND HARDWARE
301,APGUDLL19,LAKSHMI STEEL CORPORATION   
302,APGUDLL20,LAKSHMI VENKATESWARA TRADERS
303,APGUDLM06,MUBARAK ENTERPRISES
304,APGUDLM12,MADEENA ENTERPRISES
305,APGUDLM15,M.R.K.TRADERS
306,APGUDLN02,NAGA MALLESWARI AGENCIES
307,APGUDLP01,POORNA TRADERS
308,APGUDLR02,Ramakrishna Traders
309,APGUDLR06,RAGHAVA TRADERS
310,APGUDLS02,SAI SRINIVASA CEMENT AGENCIES
311,APGUDLS09,SRI BALAJI AGENCIES - Nidubrolu
312,APGUDLS101,SRI VENKATA SATYANARAYANA AGENCIES.
313,APGUDLS114,M/S SRI RAGHAVENDRA STEEL CORPORATION
314,APGUDLS123,SAMBA SIVA ENTERPRISES
315,APGUDLS124,SRI LAKSHMI AGENCIES
316,APGUDLS126,SRI DURGA STEELS
317,APGUDLS129,M/S SRI GAYATRI TRADERS
318,APGUDLS130,SAI KRISHNA TRADERS
319,APGUDLS132,SRINIVASA TIMBER DEPOT
320,APGUDLS134,SRINIVASA STEEL TRADERS
321,APGUDLS136,SRI SAI CEMENTS
322,APGUDLS137,SRI GOPALA KRISHNA AGENCIES
323,APGUDLS15,SRI SAI ENTERPRISES
324,APGUDLS21,S.A.S. STONE POLISH DEPOT
325,APGUDLS24,SONY AGENCIES - PONNURU
326,APGUDLS41,SAI DHANALAKSHMI TRADERS
327,APGUDLS54,SRI VENKATA ADINARAYANA AGENCIES
328,APGUDLS56,SRI SIVA SANKARA TRADERS
329,APGUDLS59,SRINIVASA STEELS
330,APGUDLS63,SRI KRISHNA AGENCIES
331,APGUDLS65,SRI RAMA TRADERS
332,APGUDLS69,SRI SAI DURGA TRADERS
333,APGUDLS74,SRI VARUN KUMAR STEELS
334,APGUDLS75,SRI SAI STEEL CORPORATION
335,APGUDLS82,SRI SREENIVASA AGENCIES
336,APGUDLS84,SRI VENKATA KRISHNA STEELS
337,APGUDLS86,SRI VENKATESWARA TRADERS
338,APGUDLS89,SRI BALAJI ENTERPRISES
339,APGUDLS90,SRI VIJAYA KRISHNA AGENCIES
340,APGUDLS92,SAI GOPI ENTERPRISES
341,APGUDLS95,SRI VEERANJANEYA STEEL & CEMENT COPORATION
342,APGUDLS97,SRI SAMBASIVA ENTERPRISES
343,APGUDLV05,VENKATA KRISHNA STEEL CORPORATION
344,APGUDLV23,VINAYAKA STEEL AND TILES
345,APKRDLA04,ADITHYA ENTERPRISES
346,APKRDLA08,ANJANEYA STEEL & CEMENTS
347,APKRDLA09,AYYAPPA ENTERPRISES
348,APKRDLA16,AMARAVATHI CEMENTS
349,APKRDLB02,BHAGYA SRI ENTERPRISES
350,APKRDLB05,BORRA RAMESH
351,APKRDLC03,CHINNI KRISHNA ENTERPRISES
352,APKRDLC04,CHINMAY TRADERS
353,APKRDLH02,HOME DEPOT
354,APKRDLJ01,JAYALAKSHMI STEEL  CEMENT
355,APKRDLK07,KARTHIK ENTERPRISES
356,APKRDLL03,LAKSHMI SRINIVASA STEEL  CEMENT
357,APKRDLL07,LAKSHMI GANESH HOUSING METERIALS.
358,APKRDLL08,LEELASRI TRADERS
359,APKRDLM06,MAHALAKSHMI GENERAL TRADERS
360,APKRDLM09,MV STEEL TRADERS
361,APKRDLM10,M.B.S. TRADERS
362,APKRDLM11,MAHA LAKSHMI AGENCIES
363,APKRDLM14,MAHITHA STEEL & CEMENT
364,APKRDLM15,MOHITH TRADERS
365,APKRDLR01,RAJENDRA TRADERS
366,APKRDLS02,SRI KRISHNA ENTERPRISES
367,APKRDLS103,SRINIVASA AGENCIES
368,APKRDLS104,SAI KEERTHI ENTERPRISES
369,APKRDLS106,M/S SRI CHENNA KESAVA FERTILISERS PESTICIDES
370,APKRDLS110,SUPRAJA  TRADERS
371,APKRDLS126,SATISH PAINTS
372,APKRDLS133,SIVA KRISHNA TRADERS
373,APKRDLS134,SAI SRINIVASA ENTERPRISES
